index,Country,Cases,Cases_2020,Cases_2021,Cases_2022,Cases_week,Deaths,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_week,Fully_vaccinated,Vaccinated_booster
85,Guyana,71573.0,6332.0,33241,32000.0,5.6526,1285.0,164.0,890,231.0,0.7066,57.08,8.71
86,Haiti,33846.0,9999.0,15986,7861.0,0.1110,860.0,236.0,530,94.0,0.0000,2.04,0.0
87,Honduras,457676.0,121827.0,257575,78274.0,2.3004,11043.0,3130.0,7303,610.0,0.0000,54.77,41.56
88,Hong Kong,2094095.0,8846.0,3803,2081446.0,1095.2263,10692.0,148.0,65,10479.0,1.7740,90.33,84.15
89,Hungary,2162093.0,322514.0,933901,905678.0,63.5077,48245.0,9537.0,29649,9059.0,1.0463,62.27,43.04
90,Iceland,206803.0,5754.0,21305,179744.0,0.0000,219.0,29.0,8,182.0,0.0000,0.0,0.0
91,India,44673078.0,10286709.0,24574870,9811499.0,0.2451,530614.0,148994.0,332492,49128.0,0.0029,67.09,15.62
92,Indonesia,6650244.0,743198.0,3519522,2387524.0,21.7147,159676.0,22138.0,121956,15582.0,0.1540,62.15,23.77
93,Iran,7559589.0,1225142.0,4969259,1365188.0,0.4727,144633.0,55223.0,76383,13027.0,0.0113,66.06,35.14
94,Iraq,2463021.0,595291.0,1498449,369281.0,2.2603,25363.0,12813.0,11345,1205.0,0.0064,17.8,0.6
95,Ireland,1678827.0,91779.0,696780,890268.0,47.2957,8170.0,2237.0,3675,2258.0,1.1660,80.74,62.95
96,Isle of Man,38008.0,377.0,13264,24367.0,0.0000,116.0,25.0,42,49.0,0.0000,79.38,63.08
97,Israel,4716281.0,423262.0,960670,3332349.0,158.7923,11834.0,3325.0,4918,3591.0,0.3629,65.17,57.25
98,Italy,24260660.0,2107166.0,4018517,18134977.0,504.1496,181098.0,74159.0,63243,43696.0,1.2897,81.26,76.89
99,Jamaica,152517.0,12827.0,81093,58597.0,3.7894,3399.0,302.0,2171,926.0,0.0506,26.01,1.59
100,Japan,24492699.0,235749.0,1496547,22760403.0,805.3506,49186.0,3492.0,14897,30797.0,1.0339,83.09,113.73
101,Jordan,1746997.0,294494.0,768911,683592.0,0.0000,14122.0,3834.0,8819,1469.0,0.0000,40.39,6.04
102,Kazakhstan,1485635.0,201196.0,871322,413117.0,0.0000,19053.0,2749.0,15462,842.0,0.0000,54.67,0.0
103,Kenya,341496.0,96458.0,198570,46468.0,1.2321,5684.0,1670.0,3708,306.0,0.0000,19.82,3.03
104,Kiribati,3430.0,0.0,2,3428.0,0.0000,13.0,0.0,0,13.0,0.0000,56.3,17.84
105,Kosovo,272208.0,51144.0,110340,110724.0,0.8817,3202.0,1332.0,1658,212.0,0.0000,46.29,5.91
106,Kuwait,662672.0,150584.0,266551,245537.0,5.4213,2570.0,934.0,1534,102.0,0.0334,78.28,34.05
107,Kyrgyzstan,206511.0,81034.0,103655,21822.0,0.6033,2991.0,1355.0,1447,189.0,0.0000,20.44,0.0
108,Laos,216624.0,41.0,111019,105564.0,2.9599,758.0,0.0,372,386.0,0.0000,69.36,0.0
109,Latvia,962085.0,40904.0,235770,685411.0,172.8347,6087.0,635.0,3935,1517.0,0.3087,70.57,28.61
110,Lebanon,1220385.0,181503.0,546427,492455.0,8.8997,10734.0,1468.0,7651,1615.0,0.1821,43.94,12.0
111,Lesotho,34490.0,3094.0,25314,6082.0,0.0000,706.0,51.0,614,41.0,0.0000,40.06,5.47
112,Liberia,8014.0,1800.0,4478,1736.0,0.0000,294.0,83.0,204,7.0,0.0000,67.83,0.04
113,Libya,507078.0,100277.0,288457,118344.0,0.1677,6437.0,1478.0,4232,727.0,0.0000,18.05,2.61
114,Liechtenstein,20874.0,2221.0,3910,14743.0,214.1677,87.0,44.0,25,18.0,0.0000,67.23,54.46
115,Lithuania,1274862.0,141955.0,377642,755265.0,94.8551,9429.0,1796.0,5591,2042.0,0.7791,68.35,34.28
116,Luxembourg,306139.0,46415.0,57351,202373.0,259.6396,1158.0,495.0,420,243.0,0.8824,71.43,69.68
117,Macao,797.0,46.0,33,718.0,0.2054,6.0,0.0,0,6.0,0.0000,90.12,55.5
118,Madagascar,67054.0,17714.0,32565,16775.0,0.0000,1411.0,261.0,766,384.0,0.0000,6.12,0.32
119,Malawi,88073.0,6583.0,68492,12998.0,0.0000,2685.0,189.0,2175,321.0,0.0000,15.16,2.5
120,Malaysia,4986294.0,113010.0,2645076,2228208.0,79.9563,36652.0,471.0,31016,5165.0,0.2400,81.11,49.64
121,Maldives,185584.0,13757.0,81943,89884.0,9.5457,311.0,48.0,214,49.0,0.0000,73.51,31.91
122,Mali,32758.0,7090.0,13918,11750.0,0.0190,742.0,269.0,391,82.0,0.0000,9.97,0.0
123,Malta,115769.0,12774.0,39699,63296.0,19.8229,809.0,219.0,257,333.0,0.2679,88.36,85.62
124,Marshall Islands,15541.0,4.0,0,15537.0,137.3857,17.0,0.0,0,17.0,0.0000,0.0,0.0
125,Mauritania,63419.0,14364.0,27109,21946.0,0.0000,997.0,347.0,519,131.0,0.0000,31.54,7.71
126,Mauritius,271867.0,527.0,22966,248374.0,0.0000,1034.0,10.0,230,794.0,0.1100,83.74,49.17
127,Mexico,7125176.0,1426094.0,2553629,3145453.0,2.8111,330495.0,125807.0,173621,31067.0,0.0571,64.19,44.72
