Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12
113,Korbolo,Duiker,Keneb,,,,,,,,,
113,Duiker,Keneb,,,,,,,,,,
114,Kalam,Pearl,Laseen,,,,,,,,,
114,Pearl,Laseen,,,,,,,,,,
115,Apt,Shadowthrone,Cotillion,,,,,,,,,
115,Shadowthrone,Cotillion,,,,,,,,,,
116,Apt,Cotillion,Kalam,Pearl,,,,,,,,
116,Cotillion,Kalam,Pearl,,,,,,,,,
116,Kalam,Pearl,,,,,,,,,,
117,Minala,Kalam,,,,,,,,,,
118,Pearl,Apt,Cartheron,,,,,,,,,
118,Apt,Cartheron,,,,,,,,,,
119,Duiker,Nil,Nether,Pormqual,Mallick,Blistig,Coltaine,Korbolo,List,Lull,Bult,Kamist
119,Nil,Nether,Pormqual,Mallick,Blistig,Coltaine,Korbolo,List,Lull,Bult,Kamist,
119,Nether,Pormqual,Mallick,Blistig,Coltaine,Korbolo,List,Lull,Bult,Kamist,,
119,Pormqual,Mallick,Blistig,Coltaine,Korbolo,List,Lull,Bult,Kamist,,,
119,Mallick,Blistig,Coltaine,Korbolo,List,Lull,Bult,Kamist,,,,
119,Blistig,Coltaine,Korbolo,List,Lull,Bult,Kamist,,,,,
119,Coltaine,Korbolo,List,Lull,Bult,Kamist,,,,,,
119,Korbolo,List,Lull,Bult,Kamist,,,,,,,
119,List,Lull,Bult,,,,,,,,,
119,Lull,Bult,,,,,,,,,,
120,Kalam,Topper,,,,,,,,,,
121,Fiddler,Apsalar,Crokus,Rellock,Iskaral,Icarium,Mappo,,,,,
121,Apsalar,Crokus,Rellock,Iskaral,Icarium,Mappo,,,,,,
121,Crokus,Rellock,Iskaral,Icarium,Mappo,,,,,,,
121,Rellock,Iskaral,Icarium,Mappo,,,,,,,,
121,Iskaral,Icarium,Mappo,,,,,,,,,
121,Icarium,Mappo,,,,,,,,,,
122,Nethpara,Korbolo,Coltaine,Duiker,Blistig,Pormqual,,,,,,
122,Korbolo,Coltaine,Duiker,Pormqual,,,,,,,,
122,Coltaine,Duiker,Pormqual,,,,,,,,,
122,Duiker,Pormqual,,,,,,,,,,
123,Mallick,Pormqual,Korbolo,Duiker,Keneb,Blistig,,,,,,
123,Pormqual,Korbolo,Duiker,Keneb,Blistig,,,,,,,
123,Korbolo,Duiker,Keneb,Blistig,,,,,,,,
123,Duiker,Keneb,Blistig,,,,,,,,,
123,Keneb,Blistig,,,,,,,,,,
124,Kalam,Minala,,,,,,,,,,
125,Fiddler,Crokus,Apsalar,Rellock,Gothos,Icarium,Nameless,Mappo,,,,
125,Crokus,Apsalar,Rellock,Gothos,Icarium,Nameless,Mappo,,,,,
125,Apsalar,Rellock,Gothos,Icarium,Nameless,Mappo,,,,,,
125,Rellock,Gothos,Icarium,Nameless,Mappo,,,,,,,
125,Gothos,Icarium,Nameless,Mappo,,,,,,,,
125,Icarium,Nameless,Mappo,,,,,,,,,
125,Nameless,Mappo,,,,,,,,,,
126,Kalam,Laseen,Dujek,Shadowthrone,Cotillion,Dassem,Apsalar,Topper,,,,
126,Laseen,Dujek,Shadowthrone,Cotillion,Dassem,Apsalar,Topper,,,,,
127,Kalam,Fiddler,Crokus,Apsalar,Minala,Rellock,Apt,Shadowthrone,,,,
127,Fiddler,Crokus,Apsalar,Minala,Rellock,Apt,Shadowthrone,,,,,
127,Crokus,Apsalar,Minala,Rellock,Apt,Shadowthrone,,,,,,
127,Apsalar,Minala,Rellock,Apt,Shadowthrone,,,,,,,
127,Minala,Rellock,Apt,Shadowthrone,,,,,,,,
127,Rellock,Apt,Shadowthrone,,,,,,,,,
127,Apt,Shadowthrone,,,,,,,,,,
128,Felisin,Korbolo,,,,,,,,,,
129,Tavore,Blistig,Keneb,,,,,,,,,
129,Blistig,Keneb,,,,,,,,,,
130,Gesler,Stormy,Truth,Mappo,,,,,,,,
130,Mappo,Icarium,Stormy,Truth,,,,,,,,
130,Stormy,Truth,,,,,,,,,,
131,Iskaral,Mogora,Olar,,,,,,,,,
131,Mogora,Olar,,,,,,,,,,
132,Coltaine,,,,,,,,,,,
