State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Pennsylvania,PFINeigh6,4.09,4.25,4.33,3.67,4.19,4.43,3.74,4.1,3.94,4.62,3.6,4.36
Virginia,PFINeigh6,3.25,3.73,3.42,3.71,3.58,3.62,3.43,3.55,3.75,3.4,4.25,4.25
Tennessee,PFINeigh6,3.56,4,3.58,4.18,3.4,3.25,3.78,3.89,3.83,3.6,3.33,3.88
California,PFINeigh6,3.88,4.04,3.9,4.09,4,3.97,4.42,3.95,4.04,3.86,4.25,4.09
Georgia,PFINeigh6,4.26,4.29,4.2,4.2,4.7,5,5.4,4.94,4.63,4.94,4.89,4.72
Texas,PFINeigh6,3.77,3.45,3.23,3.68,3.91,3.74,3.64,3.73,3.52,3.57,3.42,3.51
Massachusetts,PFINeigh6,3.56,4.12,3.65,3.53,3.75,3.73,3.18,3.94,3.17,3.75,3.88,4.17
New York,PFINeigh6,4.66,4.2,4.35,4.26,4.28,4.33,4.19,4.46,4.36,4.47,4,4.33
Kentucky,PFINeigh6,3.79,4.58,4.23,3.82,3.64,3.82,4,4.78,3.57,4.22,4.88,4.22
Maryland,PFINeigh6,4.38,4.7,4.27,4.42,4.7,3.9,4.56,4.2,4.5,4.33,4.5,4.44
Washington,PFINeigh6,3.69,3.18,4.21,3.94,4.18,3.41,3.58,3.46,3.67,3.58,3.27,3.3
Indiana,PFINeigh6,4.22,4.38,4,3.93,4.6,3.9,4.4,4.4,4.67,3.57,3.67,4.38
Ohio,PFINeigh6,4.33,4.4,3.89,4.08,4.22,4.29,4.26,4.06,4,4.16,4.48,4.43
Michigan,PFINeigh6,3.93,4.04,4.38,4,3.9,4.32,4.05,4.17,4.28,4.2,4.29,4.29
Hawaii,PFINeigh6,4.5,3.25,4.6,3.75,3.25,5.2,3.5,4,4.5,5.33,4.33,6.5
North Carolina,PFINeigh6,3.27,4.2,3.5,3.39,3.84,3.59,3.84,3.5,4,3.47,4.21,3.69
Oregon,PFINeigh6,3.13,3.29,3.67,3.3,4.1,4.1,3.56,3.67,4,3,3.88,3.5
New Mexico,PFINeigh6,4,6,3,3,2.67,4.5,3.67,2.67,4,2.67,3.5,3.5
Florida,PFINeigh6,3.72,4.06,3.69,3.77,4.04,4.14,4.03,3.73,4.08,3.78,3.8,3.97
Illinois,PFINeigh6,3.86,3.92,3.91,3.59,4.29,4.33,4.23,3.29,3.57,3.81,4,4.07
Arizona,PFINeigh6,3.77,4.6,3.59,3.84,4.06,4.07,4.57,3.94,4.07,4.5,4.22,4.5
Colorado,PFINeigh6,4.77,4.8,4.8,4.67,5.1,5,5.5,5.14,5.25,5.38,4.3,4.78
Oklahoma,PFINeigh6,3.64,3.56,3.33,3.38,3.25,2.8,3.5,2.83,2.5,2.6,3.14,2.43
Missouri,PFINeigh6,3.73,4.18,3.78,4.6,3.57,3.83,3.83,4,4.5,4.17,4.43,4.4
Arkansas,PFINeigh6,3.89,3.67,3,4.8,4,5,3,4.25,3.5,4.33,6,5
Idaho,PFINeigh6,5.25,3.33,4,2.67,3,5,2.67,2.67,5,3.33,4.33,4.67
Alabama,PFINeigh6,3.56,3.29,3.63,3.75,4,4.33,3,4,5,0,0,0
West Virginia,PFINeigh6,6,5,4.75,4.25,4,4.5,3.5,4,4,4.67,4.33,4.33
